Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cabo Verde,CPV,252601.216598285,34202238.3816146,89297443.9961387,180589795.413074,96071472.8368678,126312006.101645,111711633.73814,103550532.589033,122921295.022726,67659060.3115326,91527343.8459475,122385811.728963
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cambodia,KHM,..,118308566.310881,2068470774.00468,1853471158.09921,1822804151.25712,2475915853.65763,2788084321.65816,3212633447.0447,3663032999.47048,3624644990.13295,3483461605.65372,3578831295.87393
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cameroon,CMR,-112831336.842375,159708006.201387,547404749.757182,725854540.914877,694336734.87982,663893595.165465,814458940.927625,765092012.778526,1024779237.90889,675186993.65287,963531503.483345,888544608.3
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Canada,CAN,8401707941.43435,68303350856.0836,67027866778.2682,64174605785.6347,59986208237.0735,34201872160.6085,25357801000.497,42603762048.5971,48942300762.2452,30384551083.2897,64727018504.1816,53705241568.4268
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Cayman Islands,CYM,49039999.9,9358723000,34907994323.7,46040609770.7,80501525456.9,2684234739.26842,2506466933.66629,173644548.798714,1080420248.60699,6171022540.86376,25893089207.4,24590019849.6
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Central African Republic,CAF,697850.065105837,889074.9,1852792.6,3475007.9,3000000,7256090.4839,6888751.4009,18003535.4551,25601157.287,1737359.8234,5409980.2504,24047722.1852
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chad,TCD,9400000,115172421.5423,520200751.3399,-675545915.4299,559642022.5287,244682120.9694,363381636.3971,460890507.65,566638947.9523,557692503.3123,705100759.3043,614018506.4633
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Chile,CHL,661200000,4860015667.52,21120756844.0181,25527831848.9546,17766285629.0926,11362832162.4891,5237183518.21249,7942631935.04886,13579090978.7599,11447397288.618,15933021424.5106,20864902958.1511
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,China,CHN,3487000000,42095300000,290928431467.003,268097181064.335,242489331627.399,174749584584.051,166083755721.649,235365050036.341,187169822364.755,253095616058.58,344074977062.48,180166881345.04
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Colombia,COL,500000000,2436459923.42856,16210419015.9816,16168701714.7497,11620532645.7092,13857937720.8026,13700880445.1998,11298692773.8486,13989154028.3683,7458624984.21929,9561335276.67571,16868746438.4076
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Comoros,COM,393003.10379242,93636.1151,4231644.4167,4684558.67518381,4936699.51044482,3569823.72997217,3919473.02500835,5672348.12858,4300803.9663215,3875846.08058854,4024772.1820532,3859326.6
